type;driver;driver_name;unit;weight;duplicated;na_is_zero;source
Agriculture sector;Agricultural_land_sq__km_;Agricultural land;sq km;arableLand;TRUE;;The World Bank
Agriculture sector;Percent_agricultural_land;Agricultural land;%;arableLand;;;The World Bank
Agriculture sector;Agriculture_value_added_billion_USD;Agriculture value added;billion USD;GDPperCapita;;;The World Bank
Agriculture sector;Arable_land_percent_of_total_land_area;Arable land;% (land area);arableLand;;;The World Bank
Agriculture sector;Cereal_yield_kg_per_hectar;Cereal yield;kg per hectar;arableLand;;;FAO
Agriculture sector;Crop_production_index__2004_2006___100_;Crop production index;index (2004-2006 = 100);GDPperCapita;;;FAO
Agriculture sector;Employment_in_agriculture___of_total_employment;Employment in agriculture;% (total employment);GDPperCapita;;;The World Bank
Agriculture sector;Fertilizer_use_kg_per_hectare_of_arable_land;Fertilizer use;kg per hectar (of arable land);GDPperCapita;;;FAO
Agriculture sector;Food_production_index__2004_2006___100_;Food production index;index (2004-2006 = 100);GDPperCapita;;;FAO
Agriculture sector;Forest_area_percent_of_total_land_area;Forest area;% (land area);landArea;;;FAO
Agriculture sector;Forest_area_sq__km;Forest area;sq km;landArea;TRUE;;FAO
Agriculture sector;Livestock_production_index__2004_2006___100_;Livestock production index;index (2004-2006 = 100);GDPperCapita;;;FAO
Agriculture sector;Precipitation_mm_per_year;Precipitation;mm per year;landArea;;;FAO
Agriculture sector;Value_added_in_the_agricultural_sector_as_percent_of_GDP;Value added in the agricultural sector;% (GDP);GDPperCapita;;;The World Bank
Banking system access and depth;ATMs_per_100000_adults;ATMs;# per 100000 adults;GDPperCapita;;;The World Bank
Banking system access and depth;Bank_accounts_per_1000_adults;Bank accounts;# per 100 adults;GDPperCapita;;;The International Monetary Fund
Banking system access and depth;Bank_assets_percent_of_GDP;Bank assets;% (GDP);GDPperCapita;;;The International Monetary Fund
Banking system access and depth;Bank_branches_per_100000_people;Bank branches;# per 100000 people;GDPperCapita;;;The International Monetary Fund
Banking system access and depth;Bank_concentration__percent_of_bank_assets_held_by_top_three_banks;Bank concentration;% (bank assets held by top three banks);GDPperCapita;;;Bankscope
Banking system access and depth;Bank_credit_to_government_and_public_enterprises_percent_of_GDP;Bank credit to government and public enterprises;% (GDP);GDPperCapita;;;The International Monetary Fund
Banking system access and depth;Bank_credit_to_the_private_sector_as_percent_of_GDP;Bank credit to the private sector;% (GDP);GDPperCapita;;;The World Bank
Banking system access and depth;Domestic_credit_to_the_private_sector_percent_of_GDP;Domestic credit to the private sector;% (GDP);GDPperCapita;;;The World Bank
